trip_id,source_area,temple_name,temple_area,distance_km,estimated_duration,rapido_bike_price,auto_price,cab_price,traffic_level,best_transport_option,peak_time,off_peak_time,nearest_landmarks,description
50,Gajuwaka,Sri Muthyamambha Ammavari Temple,Gnanapuram,10.5,25-37 min,Rs 157,Rs 210,Rs 186,Moderate to High,Rapido Bike or Auto (cost effective),35-50 min (morning puja / evening rush),20-30 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Gajuwaka to Sri Muthyamambha Ammavari Temple in Gnanapuram, Visakhapatnam region. Approx 10.5 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
51,Gajuwaka,Shri Sagara Giri Kanaka Durga Temple,Near Beach Road,10.4,24-36 min,Rs 155,Rs 208,Rs 185,Moderate to High,Rapido Bike or Auto (cost effective),34-49 min (morning puja / evening rush),19-29 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum | Gajuwaka local sightseeing","Travel from Gajuwaka to Shri Sagara Giri Kanaka Durga Temple in Near Beach Road, Visakhapatnam region. Approx 10.4 km away. Open 06:00 AM – 08:30 PM. Heavy crowd on Fridays, festivals & auspicious days; early morning visit recommended. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
52,Gajuwaka,Shri Shyam Mandir,One Town,8.5,20-32 min,Rs 129,Rs 170,Rs 160,Moderate to High,Rapido Bike or Auto (cost effective),30-45 min (morning puja / evening rush),15-25 min (early morning or after 2 PM),"Visakhapatnam Old Town, RK Beach (2 km)","Travel from Gajuwaka to Shri Shyam Mandir in One Town, Visakhapatnam region. Approx 8.5 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
53,Gajuwaka,Kanyaka Parameswari Temple,Maharani Peta,8.7,20-32 min,Rs 131,Rs 174,Rs 163,Moderate to High,Rapido Bike or Auto (cost effective),30-45 min (morning puja / evening rush),15-25 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Gajuwaka to Kanyaka Parameswari Temple in Maharani Peta, Visakhapatnam region. Approx 8.7 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
54,Gajuwaka,Sri Jagannadha Swamy Temple (Jagannatha Swamy),One Town,8.8,21-33 min,Rs 133,Rs 176,Rs 164,Moderate to High,Rapido Bike or Auto (cost effective),31-46 min (morning puja / evening rush),16-26 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Gajuwaka to Sri Jagannadha Swamy Temple (Jagannatha Swamy) in One Town, Visakhapatnam region. Approx 8.8 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
55,Gajuwaka,Kota-veedi Ramalayam Temple,One Town,8.9,21-33 min,Rs 134,Rs 178,Rs 165,Moderate to High,Rapido Bike or Auto (cost effective),31-46 min (morning puja / evening rush),16-26 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Gajuwaka to Kota-veedi Ramalayam Temple in One Town, Visakhapatnam region. Approx 8.9 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
56,Gajuwaka,Ross Hill Church,Ross Hill,8.2,19-27 min,Rs 124,Rs 164,Rs 156,Moderate,Rapido Bike or Auto (cost effective),29-44 min (morning puja / evening rush),14-24 min (early morning or after 2 PM),"Vizag Port View, RK Beach (3 km), Tenneti Park (2 km)","Travel from Gajuwaka to Ross Hill Church in Ross Hill, Visakhapatnam region. Approx 8.2 km away. Open 06:00 AM – 07:00 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
57,Gajuwaka,Jagannatha Temple.,Ram Nagar,13.4,32-44 min,Rs 197,Rs 268,Rs 224,Moderate to High,Rapido Bike or Auto (cost effective),42-57 min (morning puja / evening rush),27-37 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Gajuwaka to Jagannatha Temple. in Ram Nagar, Visakhapatnam region. Approx 13.4 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
58,Gajuwaka,Yarada Beach,Yarada,7.6,18-26 min,Rs 116,Rs 152,Rs 148,Moderate,Rapido Bike (fastest and cheapest),28-43 min (morning puja / evening rush),13-23 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Gajuwaka to Yarada Beach in Yarada, Visakhapatnam region. Approx 7.6 km away. Open 06:00 AM – 09:00 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
59,Gajuwaka,Sri Embarumannaru Temple (Lord Venkateshwara),One Town,9.0,21-33 min,Rs 136,Rs 180,Rs 167,Moderate to High,Rapido Bike or Auto (cost effective),31-46 min (morning puja / evening rush),16-26 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Gajuwaka to Sri Embarumannaru Temple (Lord Venkateshwara) in One Town, Visakhapatnam region. Approx 9.0 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
60,Gajuwaka,Sree Sambhavnath Jain Temple,Gnanapuram,10.2,24-36 min,Rs 152,Rs 204,Rs 182,Moderate to High,Rapido Bike or Auto (cost effective),34-49 min (morning puja / evening rush),19-29 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Gajuwaka to Sree Sambhavnath Jain Temple in Gnanapuram, Visakhapatnam region. Approx 10.2 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
61,Gajuwaka,Sri Anjaneya Swamy Temple,Poorna Market,9.0,21-33 min,Rs 136,Rs 180,Rs 167,Moderate to High,Rapido Bike or Auto (cost effective),31-46 min (morning puja / evening rush),16-26 min (early morning or after 2 PM),"Visakhapatnam Old Town, RK Beach (2 km)","Travel from Gajuwaka to Sri Anjaneya Swamy Temple in Poorna Market, Visakhapatnam region. Approx 9.0 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
62,Gajuwaka,Krishna Mandir,One Town,8.9,21-33 min,Rs 134,Rs 178,Rs 165,Moderate to High,Rapido Bike or Auto (cost effective),31-46 min (morning puja / evening rush),16-26 min (early morning or after 2 PM),"Visakhapatnam Old Town, RK Beach (2 km)","Travel from Gajuwaka to Krishna Mandir in One Town, Visakhapatnam region. Approx 8.9 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
63,Gajuwaka,Sri Kodandarama Temple,KGH Area,8.6,20-32 min,Rs 130,Rs 172,Rs 161,Moderate to High,Rapido Bike or Auto (cost effective),30-45 min (morning puja / evening rush),15-25 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Gajuwaka to Sri Kodandarama Temple in KGH Area, Visakhapatnam region. Approx 8.6 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
64,Gajuwaka,"Radha Krishna Temple, GOKUL PARK",RK Beach,12.5,30-42 min,Rs 185,Rs 250,Rs 212,Moderate to High,Rapido Bike or Auto (cost effective),40-55 min (morning puja / evening rush),25-35 min (early morning or after 2 PM),"RK Beach (1 km), Submarine Museum (2 km), Kailasagiri (6 km)","Travel from Gajuwaka to Radha Krishna Temple, GOKUL PARK in RK Beach, Visakhapatnam region. Approx 12.5 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
65,Gajuwaka,Shri Vishaka Jain Dhadhawadi Near vishakha institute,KGH Area,8.3,19-27 min,Rs 126,Rs 166,Rs 157,Moderate,Rapido Bike or Auto (cost effective),29-44 min (morning puja / evening rush),14-24 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Gajuwaka to Shri Vishaka Jain Dhadhawadi Near vishakha institute in KGH Area, Visakhapatnam region. Approx 8.3 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
66,Gajuwaka,Badravati Sameta Bhavanarishi Easwarula Sivalayam,Maharani Peta,9.4,22-34 min,Rs 141,Rs 188,Rs 172,Moderate to High,Rapido Bike or Auto (cost effective),32-47 min (morning puja / evening rush),17-27 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Gajuwaka to Badravati Sameta Bhavanarishi Easwarula Sivalayam in Maharani Peta, Visakhapatnam region. Approx 9.4 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
67,Gajuwaka,Dadawadi Jain Temple,Beach Road,12.4,29-41 min,Rs 183,Rs 248,Rs 211,Moderate to High,Rapido Bike or Auto (cost effective),39-54 min (morning puja / evening rush),24-34 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Gajuwaka to Dadawadi Jain Temple in Beach Road, Visakhapatnam region. Approx 12.4 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
68,Gajuwaka,Durga Devi Temple,Gajuwaka,0.1,7-12 min,Rs 30,Rs 40,Rs 80,Low,Rapido Bike (fastest and cheapest),10-25 min (morning puja / evening rush),5-5 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Gajuwaka to Durga Devi Temple in Gajuwaka, Visakhapatnam region. Approx 0.1 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
69,Gajuwaka,"20-107-07,Vedapatasala,Kotha agraharam",Gajuwaka,0.1,7-12 min,Rs 30,Rs 40,Rs 80,Low,Rapido Bike (fastest and cheapest),10-25 min (morning puja / evening rush),5-5 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Gajuwaka to 20-107-07,Vedapatasala,Kotha agraharam in Gajuwaka, Visakhapatnam region. Approx 0.1 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
70,Gajuwaka,Sai Baba & Sri Rama Temple,Gnanapuram,10.0,24-36 min,Rs 150,Rs 200,Rs 180,Moderate to High,Rapido Bike or Auto (cost effective),34-49 min (morning puja / evening rush),19-29 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Gajuwaka to Sai Baba & Sri Rama Temple in Gnanapuram, Visakhapatnam region. Approx 10.0 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
71,Gajuwaka,Lalitha Temple,Ram Nagar,13.4,32-44 min,Rs 197,Rs 268,Rs 224,Moderate to High,Rapido Bike or Auto (cost effective),42-57 min (morning puja / evening rush),27-37 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Gajuwaka to Lalitha Temple in Ram Nagar, Visakhapatnam region. Approx 13.4 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
72,Gajuwaka,Mahalakshmi Durga Santhoshi Maatha Temple,Lawson's Bay,14.4,34-46 min,Rs 211,Rs 288,Rs 237,Moderate to High,Rapido Bike or Auto (cost effective),44-59 min (morning puja / evening rush),29-39 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Gajuwaka to Mahalakshmi Durga Santhoshi Maatha Temple in Lawson's Bay, Visakhapatnam region. Approx 14.4 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
73,Gajuwaka,Ramakrishna Beach,RK Beach,12.6,30-42 min,Rs 186,Rs 252,Rs 213,Moderate to High,Rapido Bike or Auto (cost effective),40-55 min (morning puja / evening rush),25-35 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Gajuwaka to Ramakrishna Beach in RK Beach, Visakhapatnam region. Approx 12.6 km away. Open 06:00 AM – 09:00 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
74,Gajuwaka,I Love Vizag Point,RK Beach,12.5,30-42 min,Rs 185,Rs 250,Rs 212,Moderate to High,Rapido Bike or Auto (cost effective),40-55 min (morning puja / evening rush),25-35 min (early morning or after 2 PM),"RK Beach (1 km), Submarine Museum (2 km), Kailasagiri (6 km)","Travel from Gajuwaka to I Love Vizag Point in RK Beach, Visakhapatnam region. Approx 12.5 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
75,Gajuwaka,Ramalayam,Andhra University,12.2,29-41 min,Rs 180,Rs 244,Rs 208,Moderate to High,Rapido Bike or Auto (cost effective),39-54 min (morning puja / evening rush),24-34 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Gajuwaka to Ramalayam in Andhra University, Visakhapatnam region. Approx 12.2 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
76,Gajuwaka,Yarada,Yarada,7.6,18-26 min,Rs 116,Rs 152,Rs 148,Moderate,Rapido Bike (fastest and cheapest),28-43 min (morning puja / evening rush),13-23 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum | Gajuwaka local sightseeing","Travel from Gajuwaka to Yarada in Yarada, Visakhapatnam region. Approx 7.6 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
77,Gajuwaka,DSC TEMPLE,Gajuwaka,0.3,7-12 min,Rs 30,Rs 40,Rs 80,Low,Rapido Bike (fastest and cheapest),10-25 min (morning puja / evening rush),5-5 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Gajuwaka to DSC TEMPLE in Gajuwaka, Visakhapatnam region. Approx 0.3 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
78,Gajuwaka,Sree Chintamani Durga Ganapathi Temple,Maharani Peta,9.4,22-34 min,Rs 141,Rs 188,Rs 172,Moderate to High,Rapido Bike or Auto (cost effective),32-47 min (morning puja / evening rush),17-27 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Gajuwaka to Sree Chintamani Durga Ganapathi Temple in Maharani Peta, Visakhapatnam region. Approx 9.4 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
79,Gajuwaka,Ayyappa Temple,Maharani Peta,9.4,22-34 min,Rs 141,Rs 188,Rs 172,Moderate to High,Rapido Bike or Auto (cost effective),32-47 min (morning puja / evening rush),17-27 min (early morning or after 2 PM),"Gajuwaka town, Simhachalam (6 km), Bheemunipatnam Road","Travel from Gajuwaka to Ayyappa Temple in Maharani Peta, Visakhapatnam region. Approx 9.4 km away. Open 05:00 AM – 09:00 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
